Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Total Claim Amount,Policy Type,Vehicle Class,Customer,State,Customer Lifetime Value,Education,Gender,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Total Claim Amount,Vehicle Class
QZ44356,Arizona,F,Bachelor,697953.59%,0.0,94.0,1/0/00,Personal Auto,Four-Door Car,1131.464935,CW49887,California,F,Master,462680.11%,79487.0,114.0,1/0/00,547.2,Special Auto,SUV,TB86706,Arizona,2502.637401,Master,M,0,66,0,Personal Auto,3.468912,Two-Door Car
AI49188,Nevada,F,Bachelor,1288743.17%,48767.0,108.0,1/0/00,Personal Auto,Two-Door Car,566.472247,MY31220,California,F,College,899704.02%,54230.0,112.0,1/0/00,537.6,Personal Auto,Two-Door Car,ZL73902,Nevada,3265.156348,Bachelor,F,25820,82,0,Personal Auto,393.6,Four-Door Car
WW63253,California,M,Bachelor,764586.18%,0.0,106.0,1/0/00,Corporate Auto,SUV,529.881344,UH35128,Oregon,F,College,2580706.30%,71210.0,214.0,1/1/00,1027.2,Personal Auto,Luxury Car,KX23516,California,4455.843406,High School or Below,F,0,121,0,Personal Auto,699.615192,SUV
GA49547,Washington,M,High School or Below,536307.65%,36357.0,68.0,1/0/00,Personal Auto,Four-Door Car,17.269323,WH52799,Arizona,F,College,380812.21%,94903.0,94.0,1/0/00,451.2,Corporate Auto,Two-Door Car,FN77294,California,7704.95848,High School or Below,M,30366,101,2,Personal Auto,484.8,SUV
OC83172,Oregon,F,Bachelor,825629.78%,62902.0,69.0,1/0/00,Personal Auto,Two-Door Car,159.383042,WL99637,Arizona,M,Bachelor,761413.80%,27293.0,96.0,1/0/00,469.030907,Personal Auto,Two-Door Car,VI78454,Arizona,2750.705045,College,M,51789,70,0,Personal Auto,336.0,Four-Door Car
XZ87318,Oregon,F,College,538089.86%,55350.0,67.0,1/0/00,Corporate Auto,Four-Door Car,321.6,UC84059,California,F,Master,689845.53%,70950.0,171.0,1/0/00,565.929394,Personal Auto,Sports Car,FP59138,Oregon,13024.13012,Master,M,0,125,0,Personal Auto,900.0,SUV
CF85061,Arizona,M,Master,721610.03%,0.0,101.0,1/0/00,Corporate Auto,Four-Door Car,363.02968,HW62747,Oregon,M,College,229837.92%,0.0,63.0,1/0/00,302.4,Corporate Auto,Four-Door Car,XN62489,Oregon,2538.62632,Bachelor,M,18608,71,0,Corporate Auto,340.8,Four-Door Car
DY87989,Oregon,M,Bachelor,2412750.40%,14072.0,71.0,1/0/00,Corporate Auto,Four-Door Car,511.2,BH11344,Oregon,F,Doctor,280669.61%,37009.0,71.0,1/0/00,145.673348,Corporate Auto,Two-Door Car,GP66031,California,2585.955652,College,F,83758,64,0,Corporate Auto,106.591949,Two-Door Car
BQ94931,Oregon,F,College,738817.81%,28812.0,93.0,1/0/00,Special Auto,Four-Door Car,425.527834,TX28465,Nevada,M,College,520611.82%,52629.0,65.0,1/0/00,136.684141,Personal Auto,Four-Door Car,IX68587,Nevada,5096.673223,Master,F,22886,65,0,Personal Auto,312.0,Four-Door Car
SX51350,California,M,College,473899.20%,0.0,67.0,1/0/00,Personal Auto,Four-Door Car,482.4,OK56965,California,F,Bachelor,4570865.34%,31264.0,198.0,1/1/00,825.657746,Personal Auto,Luxury SUV,HX17929,California,10083.48688,High School or Below,F,11828,90,0,Personal Auto,571.479602,Four-Door Car
